# cycle	P.putida	Synechococcus	co2_e	C80aPHA_e	nh4_e	sucr_e
780.0	0.1	0.17360240205	310.38620491	15.58	0.0	0.004330302727899999
781.0	0.1	0.17399357443	310.65165803	15.6	0.0	0.0043400600513000005
782.0	0.1	0.17438562821	310.91703331	15.62	0.0	0.004349839360600001
783.0	0.1	0.1747785654	311.18233057	15.64	0.0	0.0043596407053
784.0	0.1	0.17517238798	311.44754964	15.66	0.0	0.004369464135
785.0	0.1	0.17556709795	311.71269033	15.68	0.0	0.0043793096996
786.0	0.1	0.1759626973	311.97775248	15.7	0.0	0.0043891774487
787.0	0.1	0.17635918805	312.24273589999996	15.72	0.0	0.0043990674326000005
788.0	0.1	0.17675657219	312.50764042	15.74	0.0	0.0044089797011999995
789.0	0.1	0.17715485175	312.77246586	15.76	0.0	0.004418914304800001
790.0	0.1	0.17755402873	313.03721205	15.78	0.0	0.0044288712937
791.0	0.1	0.17795410517	313.3018788	15.8	0.0	0.0044388507183999995
792.0	0.1	0.17835508309	313.56646593	15.82	0.0	0.004448852629300001
793.0	0.1	0.17875696451	313.83097327	15.84	0.0	0.0044588770772
794.0	0.1	0.17915975149	314.09540063	15.86	0.0	0.004468924112899999
795.0	0.1	0.17956344604	314.35974784	15.88	0.0	0.0044789937871
796.0	0.1	0.17996805023	314.62401472	15.9	0.0	0.0044890861511
797.0	0.1	0.1803735661	314.88820107	15.92	0.0	0.0044992012558
798.0	0.1	0.18077999571	315.15230673	15.94	0.0	0.004509339152600001
799.0	0.1	0.18118734111	315.41633152	15.96	0.0	0.0045194998927
800.0	0.1	0.18159560436	315.68027523	15.98	0.0	0.0045296835277
801.0	0.1	0.18200478754	315.94413771	16.0	0.0	0.0045398901091
802.0	0.1	0.18241489273	316.20791876	16.02	0.0	0.0045501196886
803.0	0.1	0.18282592198	316.47161819	16.04	0.0	0.0045603723181
804.0	0.1	0.1832378774	316.73523583	16.06	0.0	0.0045706480496
805.0	0.1	0.18365076106	316.9987715	16.08	0.0	0.0045809469349
806.0	0.1	0.18406457505	317.262225	16.1	0.0	0.0045912690264
807.0	0.1	0.18447932148	317.52559615	16.12	0.0	0.0046016143763
808.0	0.1	0.18489500245	317.78888476	16.14	0.0	0.004611983037100001
809.0	0.1	0.18531162005	318.05209065	16.16	0.0	0.0046223750612
810.0	0.1	0.1857291764	318.31521364	16.18	0.0	0.004632790501199999
811.0	0.1	0.18614767362	318.57825354	16.2	0.0	0.0046432294101
812.0	0.1	0.18656711383	318.84121015	16.22	0.0	0.004653691840600001
813.0	0.1	0.18698749914	319.10408329	16.24	0.0	0.0046641778457
814.0	0.1	0.1874088317	319.36687278	16.26	0.0	0.0046746874784999995
815.0	0.1	0.18783111363	319.62957842	16.28	0.0	0.004685220792399999
816.0	0.1	0.18825434707	319.89220003	16.3	0.0	0.0046957778406
817.0	0.1	0.18867853417	320.15473742	16.32	0.0	0.0047063586767
818.0	0.1	0.18910367707	320.41719039	16.34	0.0	0.004716963354199999
819.0	0.1	0.18952977794	320.67955876	16.36	0.0	0.004727591926899999
820.0	0.1	0.18995683893	320.94184233	16.38	0.0	0.0047382444485
821.0	0.1	0.19038486219	321.20404092	16.4	0.0	0.0047489209731
822.0	0.1	0.19081384991	321.46615433	16.42	0.0	0.0047596215548000005
823.0	0.1	0.19124380425	321.72818238	16.44	0.0	0.0047703462477
824.0	0.1	0.19167472739	321.99012486	16.46	0.0	0.004781095106199999
825.0	0.1	0.19210662152	322.25198159	16.48	0.0	0.0047918681848
826.0	0.1	0.19253948882	322.51375237	16.5	0.0	0.0048026655379
827.0	0.1	0.19297333148	322.77543701	16.52	0.0	0.0048134872203999994
828.0	0.1	0.19340815171	323.03703532	16.54	0.0	0.004824333287
829.0	0.1	0.1938439517	323.29854710000006	16.56	0.0	0.0048352037927
830.0	0.1	0.19428073366	323.55997215	16.58	0.0	0.0048460987925
831.0	0.1	0.19471849982	323.82131029	16.6	0.0	0.0048570183416
832.0	0.1	0.19515725237	324.0825613	16.62	0.0	0.0048679624954
833.0	0.1	0.19559699355	324.34372501	16.64	0.0	0.0048789313093
834.0	0.1	0.19603772559	324.60480121	16.66	0.0	0.0048899248388
835.0	0.1	0.19647945071	324.8657897	16.68	0.0	0.0049009431396000004
836.0	0.1	0.19692217115	325.12669029	16.7	0.0	0.0049119862676999995
837.0	0.1	0.19736588917	325.38750278	16.72	0.0	0.0049230542788
838.0	0.1	0.19781060699	325.64822697	16.74	0.0	0.0049341472291
839.0	0.1	0.19825632689	325.90886266	16.76	0.0	0.004945265174800001
840.0	0.1	0.19870305111	326.16940965	16.78	0.0	0.0049564081722
841.0	0.1	0.19915078191	326.42986774	16.8	0.0	0.0049675762777
842.0	0.1	0.19959952158	326.69023673	16.82	0.0	0.0049787695479
843.0	0.1	0.20004927237	326.95051643	16.84	0.0	0.0049899880394999995
844.0	0.1	0.20050003658	327.21070662	16.86	0.0	0.005001231809399999
845.0	0.1	0.20095181647	327.47080712	16.88	0.0	0.0050125009144
846.0	0.1	0.20140461435	327.73081771	16.9	0.0	0.0050237954118
847.0	0.1	0.2018584325	327.99073819	16.92	0.0	0.0050351153587
848.0	0.1	0.20231327322	328.25056836	16.94	0.0	0.0050464608124
849.0	0.1	0.20276913882	328.51030802	16.96	0.0	0.0050578318304
850.0	0.1	0.2032260316	328.76995696	16.98	0.0	0.0050692284704
851.0	0.1	0.20368395389	329.02951498	17.0	0.0	0.005080650789999999
852.0	0.1	0.20414290799	329.28898187	17.02	0.0	0.0050920988472
853.0	0.1	0.20460289625	329.54835743	17.04	0.0	0.005103572699800001
854.0	0.1	0.20506392097	329.80764146	17.06	0.0	0.0051150724062
855.0	0.1	0.20552598451	330.06683374	17.08	0.0	0.0051265980244
856.0	0.1	0.20598908921	330.32593407	17.1	0.0	0.005138149612800001
857.0	0.1	0.2064532374	330.58494224	17.12	0.0	0.0051497272301000005
858.0	0.1	0.20691843143	330.84385804	17.14	0.0	0.005161330934899999
859.0	0.1	0.20738467368	331.10268127	17.16	0.0	0.0051729607858000005
860.0	0.1	0.20785196649	331.36141172	17.18	0.0	0.0051846168420000005
861.0	0.1	0.20832031224	331.62004918	17.2	0.0	0.0051962991623
862.0	0.1	0.20878971329	331.87859344	17.22	0.0	0.005208007806
863.0	0.1	0.20926017203	332.13704429	17.24	0.0	0.0052197428323
864.0	0.1	0.20973169084	332.39540151	17.26	0.0	0.0052315043008
865.0	0.1	0.21020427211	332.65366491	17.28	0.0	0.005243292271100001
866.0	0.1	0.21067791823	332.91183426	17.3	0.0	0.0052551068027
