# cycle	R.palustris	Synechococcus	co2_e	h2_e	n2_e	sucr_e
79.0	0.15592707348	0.25185481844	96.25601562	0.22604887744000002	27.773951123000003	0.046078945614
80.0	0.15680800319	0.25214437391	96.206477408	0.22960946378000002	27.770390536	0.046921496908
81.0	0.15769390984	0.25243426227	96.15688485700001	0.23319016609999998	27.766809834	0.047735941727
82.0	0.15858482152	0.25272448392	96.107237919	0.23679109805999998	27.763208902	0.048522083492999996
83.0	0.15948076652	0.25301503923	96.057536545	0.24041237393000003	27.759587626	0.049279724474999995
84.0	0.16038177328	0.25330592859	96.007780689	0.24405410866	27.755945891	0.050008665780999995
85.0	0.16128787038	0.25359715238	95.957970302	0.24771641783000004	27.752283581999997	0.050708707351
86.0	0.1621990866	0.25388871099	95.908105338	0.25139941766999996	27.748600581999998	0.05137964795199999
87.0	0.16311545085	0.25418060481	95.858185748	0.2551032251	27.744896775	0.052021285171
88.0	0.16403699221	0.25447283421	95.808211485	0.25882795765	27.741172042	0.052633415406
89.0	0.16496373994	0.25476539958	95.75818250100001	0.26257373354	27.737426266	0.053215833861999996
90.0	0.16589572345	0.25505830132	95.70809875	0.26634067168000003	27.733659328	0.053768334543
91.0	0.16683297232	0.2553515398	95.65796018299999	0.2701288916	27.729871108	0.054290710247
92.0	0.16777551629	0.25564511542	95.60776675299999	0.27393851355	27.726061486	0.054782752554
93.0	0.16872338528	0.25593902855	95.557518413	0.27776965845	27.722230342	0.055244251826
94.0	0.16967660938	0.2562332796	95.507215116	0.28162244788	27.718377552	0.055674997195
95.0	0.17063521884	0.25652786895	95.45685681399999	0.28549700413	27.714502996	0.056074776557
96.0	0.17159924409	0.25682279698	95.40644346	0.28939345018	27.71060655	0.056443376568
97.0	0.17256871571	0.25711806409	95.35597500600001	0.29331190969	27.70668809	0.056780582631
98.0	0.17354366449	0.25741367066	95.305451406	0.29725250703	27.702747493	0.057086178896000005
99.0	0.17452412137	0.25770961709	95.25487261299999	0.30121536728	27.698784633000002	0.057359948246
100.0	0.17551011746	0.25800590377	95.20423857899999	0.30520061621	27.694799384	0.057601672297
101.0	0.17650168406	0.25830253109	95.15354925700001	0.30920838031	27.69079162	0.057811131382999995
102.0	0.17749885264	0.25859949944	95.1028046	0.31323878677	27.686761213	0.057988104554000004
103.0	0.17850165486	0.25889680921	95.05200456200001	0.31729196353	27.682708035999998	0.058132369568
104.0	0.17951012253	0.25919446079	95.001149094	0.32136803921999996	27.678631961	0.058243702882
105.0	0.18052428766	0.25949245458	94.95023815200001	0.32546714321	27.674532857	0.058321879646
106.0	0.18154418245	0.25979079098	94.899271686	0.32958940562	27.670410594	0.058366673696
107.0	0.18256983926	0.26008947036	94.848249651	0.33373495726	27.666265043000003	0.058377857542000006
108.0	0.18360129066	0.26038849314	94.797172	0.33790392973000005	27.66209607	0.058355202369
109.0	0.18463856936	0.2606878597	94.746038686	0.34209645533	27.657903545	0.058298478021
110.0	0.18568170831	0.26098757044	94.69484966200001	0.34631266713	27.653687333	0.058207452998
111.0	0.1867307406	0.26128762576	94.643604883	0.35055269895999996	27.649447301	0.058081894448
112.0	0.18778569953	0.26158802604	94.5923043	0.35481668538000005	27.645183315	0.057921568156000004
113.0	0.18884661858	0.2618887717	94.54094786799999	0.35910476173	27.640895238000002	0.057726238542
114.0	0.18991353143	0.26218986312	94.489535539	0.36341706410999997	27.636582936	0.057495668649000006
115.0	0.19098647194	0.2624913007	94.438067269	0.36775372939	27.632246271	0.057229620135000006
116.0	0.19206547416	0.26279308484	94.386543009	0.37211489520999996	27.627885105	0.056927853267
